epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.727,1.17021,2.36362,1.07858,0.00333,1,0.67202,0.46327,0.97803,3.26227,0.93574,0.000651852,0.000651852,0.000651852
2,511.406,1.19033,1.40541,1.02797,0.94291,0.91761,0.9804,0.64812,1.05548,2.2091,0.97043,0.00129241,0.00129241,0.00129241
3,744.63,1.19271,1.25927,1.04085,0.96028,0.94029,0.98227,0.67793,1.10648,1.26544,1.02707,0.00190657,0.00190657,0.00190657
4,974.764,1.14805,1.07483,1.03263,0.95656,0.93889,0.98644,0.70882,0.99957,1.05818,0.98312,0.0018812,0.0018812,0.0018812
5,1204.87,1.14565,0.93919,1.01907,0.93549,0.96672,0.99023,0.72071,0.98763,0.93369,0.96355,0.0018416,0.0018416,0.0018416
6,1432.28,1.10389,0.85309,1.00588,0.94538,0.96149,0.981,0.66871,1.03333,0.85109,0.99052,0.001802,0.001802,0.001802
7,1655.91,1.03636,0.76783,0.98856,0.92236,0.95556,0.97821,0.7211,0.92657,0.72288,0.94719,0.0017624,0.0017624,0.0017624
8,1879.75,1.05073,0.75012,0.98176,0.97152,0.92778,0.9862,0.70213,0.99978,0.74732,0.96568,0.0017228,0.0017228,0.0017228
9,2103.48,1.04809,0.74692,0.99089,0.96112,0.96125,0.98692,0.70375,0.95682,0.69527,0.95159,0.0016832,0.0016832,0.0016832
10,2328.34,1.01916,0.68537,0.97753,0.98799,0.98889,0.99407,0.73951,0.91973,0.5876,0.94602,0.0016436,0.0016436,0.0016436
11,2552.94,1.04639,0.66478,0.97439,0.98632,0.97222,0.99203,0.72857,0.95826,0.57425,0.93795,0.001604,0.001604,0.001604
12,2790.43,1.04419,0.66271,0.98294,0.96796,0.98889,0.99138,0.73912,0.90697,0.60077,0.93189,0.0015644,0.0015644,0.0015644
13,3024.38,0.99892,0.62596,0.97276,0.97898,0.98333,0.99353,0.71074,0.96549,0.58327,0.94866,0.0015248,0.0015248,0.0015248
14,3264.22,1.00317,0.61669,0.96678,0.97253,0.95,0.99151,0.72391,0.94032,0.61718,0.96811,0.0014852,0.0014852,0.0014852
15,3501.54,0.98161,0.61247,0.96369,0.99444,0.99356,0.99483,0.75486,0.8975,0.48856,0.91478,0.0014456,0.0014456,0.0014456
16,3730.72,0.94968,0.57199,0.94832,0.987,1,0.99489,0.76965,0.82503,0.52764,0.91025,0.001406,0.001406,0.001406
17,3966.75,0.92651,0.5804,0.94477,0.98893,0.99225,0.99422,0.77706,0.85108,0.50989,0.90293,0.0013664,0.0013664,0.0013664
18,4214.55,0.96001,0.56909,0.9531,0.99099,0.98889,0.99472,0.77717,0.83124,0.49164,0.91324,0.0013268,0.0013268,0.0013268
19,4473.07,0.94778,0.56732,0.94895,0.9714,0.99444,0.99446,0.76897,0.87669,0.49471,0.93505,0.0012872,0.0012872,0.0012872
20,4731,0.94401,0.55976,0.94343,0.99883,0.99444,0.995,0.77721,0.82024,0.47028,0.90902,0.0012476,0.0012476,0.0012476
21,4986.14,0.91453,0.52927,0.9324,0.96207,0.98639,0.99148,0.78534,0.81335,0.49087,0.89915,0.001208,0.001208,0.001208
22,5223.35,0.91244,0.54718,0.93125,0.98755,1,0.99489,0.77741,0.84602,0.47523,0.90548,0.0011684,0.0011684,0.0011684
23,5455.92,0.91756,0.52666,0.93236,1,0.99403,0.995,0.77648,0.84866,0.44578,0.91281,0.0011288,0.0011288,0.0011288
24,5724.29,0.91115,0.52204,0.93826,0.99303,0.98889,0.99462,0.78391,0.80209,0.45956,0.90643,0.0010892,0.0010892,0.0010892
25,5999.74,0.91226,0.53091,0.93777,0.98899,0.99798,0.99489,0.80326,0.82133,0.43314,0.90996,0.0010496,0.0010496,0.0010496
26,6381.93,0.89274,0.50667,0.93408,0.98358,0.99866,0.9945,0.77969,0.86416,0.43526,0.91853,0.00101,0.00101,0.00101
27,6658.12,0.88529,0.50495,0.93722,0.99437,0.99444,0.99494,0.78849,0.80836,0.43672,0.8902,0.0009704,0.0009704,0.0009704
28,6904.87,0.87619,0.48523,0.92635,0.99966,0.99444,0.995,0.8168,0.7934,0.41959,0.8868,0.0009308,0.0009308,0.0009308
29,7157.23,0.85769,0.48006,0.92228,0.99447,0.99929,0.995,0.76791,0.85665,0.43209,0.89616,0.0008912,0.0008912,0.0008912
30,7433.97,0.85695,0.48919,0.93446,0.99409,1,0.995,0.78288,0.83783,0.41813,0.89572,0.0008516,0.0008516,0.0008516
31,7687.11,0.82881,0.47216,0.91449,1,0.99895,0.995,0.81486,0.81195,0.41455,0.89556,0.000812,0.000812,0.000812
32,7966.48,0.85253,0.47298,0.91903,0.99385,1,0.995,0.79184,0.82143,0.41934,0.90467,0.0007724,0.0007724,0.0007724
33,8285.85,0.87445,0.47225,0.92342,0.99405,0.99444,0.99494,0.78816,0.80686,0.41414,0.89406,0.0007328,0.0007328,0.0007328
34,8600.45,0.80864,0.45217,0.91658,0.99884,1,0.995,0.79194,0.79987,0.42289,0.89539,0.0006932,0.0006932,0.0006932
35,8908.9,0.83243,0.45757,0.90531,1,0.99926,0.995,0.79815,0.80862,0.38743,0.8953,0.0006536,0.0006536,0.0006536
36,9220.11,0.8182,0.45627,0.91157,0.99035,0.99444,0.99494,0.80073,0.81589,0.38601,0.8925,0.000614,0.000614,0.000614
37,9556.07,0.80247,0.44983,0.91511,1,0.9996,0.995,0.79271,0.8282,0.37944,0.89549,0.0005744,0.0005744,0.0005744
38,9870.42,0.76851,0.4368,0.89276,0.99974,0.99444,0.995,0.79967,0.78765,0.38118,0.88748,0.0005348,0.0005348,0.0005348
39,10204.8,0.78363,0.42844,0.89519,0.989,0.99899,0.99483,0.81222,0.76403,0.37419,0.88581,0.0004952,0.0004952,0.0004952
40,10543,0.77407,0.41937,0.89004,0.99335,1,0.99472,0.81369,0.76666,0.36766,0.88408,0.0004556,0.0004556,0.0004556
41,10877.4,0.74217,0.39557,0.8801,0.99878,0.99444,0.995,0.81011,0.77661,0.38352,0.88294,0.000416,0.000416,0.000416
42,11182.6,0.71796,0.38814,0.87302,1,0.99939,0.995,0.81816,0.75629,0.3613,0.88335,0.0003764,0.0003764,0.0003764
43,11506.2,0.70819,0.37866,0.87515,0.99943,0.99444,0.995,0.80685,0.7879,0.37565,0.88284,0.0003368,0.0003368,0.0003368
44,11772,0.69317,0.37171,0.86697,0.9999,0.99444,0.995,0.81865,0.76338,0.3609,0.88476,0.0002972,0.0002972,0.0002972
45,12039.7,0.70459,0.36924,0.87839,0.9992,0.99444,0.995,0.80792,0.79432,0.37502,0.88695,0.0002576,0.0002576,0.0002576
46,12303.2,0.68247,0.36917,0.86889,1,0.99962,0.995,0.81672,0.74783,0.34862,0.87972,0.000218,0.000218,0.000218
47,12550.1,0.67318,0.35848,0.86273,0.99977,1,0.995,0.82463,0.76115,0.35164,0.87883,0.0001784,0.0001784,0.0001784
48,12836.6,0.66356,0.34692,0.85909,0.99969,1,0.995,0.81726,0.77613,0.35529,0.87718,0.0001388,0.0001388,0.0001388
49,13106.3,0.6593,0.34137,0.8675,0.99978,1,0.995,0.81093,0.78556,0.35156,0.88112,9.92e-05,9.92e-05,9.92e-05
50,13350.4,0.63399,0.34304,0.86297,0.99973,1,0.995,0.8211,0.76061,0.33759,0.87812,5.96e-05,5.96e-05,5.96e-05
